distance_group,HousePrice
0.82,5685.3720703
0.82,5685.3720703
0.82,5685.3720703
0.82,5685.3720703
0.82,5685.3720703
0.82,5685.3720703
0.82,5685.3720703
0.82,5685.3720703
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
3.39,5720.3271484
4.34,5370.4042969
4.34,5370.4042969
4.34,5370.4042969
4.34,5370.4042969
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
0.73,4026.904541
37.94,2128.5405273
37.94,2128.5405273
0.12,3461.9680176
0.12,3461.9680176
0.12,3461.9680176
0.12,3461.9680176
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
0.96,4667.9848633
1.14,3503.8217773
1.14,3503.8217773
1.14,3503.8217773
1.14,3503.8217773
1.14,3503.8217773
1.14,3503.8217773
1.14,3503.8217773
1.14,3503.8217773
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
1.14,6261.9682617
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
0.72,5256.7299805
2.85,5558.7636719
2.85,5558.7636719
2.85,5558.7636719
2.85,5558.7636719
2.85,5558.7636719
2.85,5558.7636719
2.85,5558.7636719
52.6,2327.6025391
52.6,2327.6025391
2.85,5657.3154297
2.85,5657.3154297
2.85,5657.3154297
2.85,5657.3154297
2.85,5657.3154297
2.85,5657.3154297
2.85,5657.3154297
0.99,5186.6469727
0.99,5186.6469727
0.99,5186.6469727
0.99,5186.6469727
0.99,5186.6469727
0.99,5186.6469727
1.88,3587.9230957
1.75,4536.203125
1.75,4536.203125
1.75,4536.203125
1.75,4536.203125
1.75,4536.203125
1.75,4536.203125
1.75,4536.203125
1.75,4536.203125
1.62,4116.9824219
1.62,4116.9824219
1.62,4116.9824219
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
3.05,2547.2331543
23.85,2296.9318848
23.85,2296.9318848
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
2.65,5566.2397461
1.93,3228.440918
1.93,3228.440918
1.93,3228.440918
1.93,3228.440918
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
1.22,5717.5087891
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
3.44,5535.1992188
5.13,2478.9731445
0.86,1899.4782715
2.23,3237.0915527
2.23,3237.0915527
2.23,3237.0915527
2.23,3237.0915527
2.23,3237.0915527
2.23,3237.0915527
2.23,3237.0915527
1.55,1820.8911133
3.39,5985.5126953
3.39,5985.5126953
3.39,5985.5126953
3.39,5985.5126953
3.39,5985.5126953
3.39,5985.5126953
3.39,5985.5126953
