PrimayAccess,GID
14120.419881089929,310101
10433.814651087638,310104
10383.002454264286,310105
13057.584785273339,310106
10389.797850458546,310107
13427.677879246688,310109
9946.385377345228,310110
5913.190222801754,310112
3895.2279222260595,310113
4987.468107852082,310114
1029.8352356426517,310115
1559.8670705007935,310116
3842.7358302267808,310117
2332.822080464305,310118
2547.9237558762447,310120
0.020271471218647374,310151
