distance_group,HousePrice,Weight
198,2826.069482413333,15
199,2881.876329203704,27
200,2966.7109723785716,42
201,3136.285880105263,57
202,3086.9755676199998,40
203,2746.230834965714,35
204,3115.817511305263,19
205,2967.2136482896553,29
206,3126.7839762333333,6
207,3187.739610466667,9
208,2789.263916025,4
209,3127.216888425,8
210,3034.21236165,6
211,2857.04702148,10
212,2853.1270752,6
213,2667.4213867375,8
214,3090.91137695,8
215,3025.1683756666666,3
216,2793.4169922,6
217,3051.602661133333,12
218,3208.9057617,1
219,2826.1170654,2
220,2449.0680542,4
221,2757.0703125,4
222,2495.8031819833336,6
223,2807.7437744,4
224,2752.6600748833334,6
225,2348.1125488,1
226,2774.47247315,4
227,2787.7977701666664,3
228,2462.0088704666664,3
229,2752.850748683333,6
230,2648.85122072,5
231,2753.38710938,5
232,2569.30358885,2
234,2715.9001465,6
235,2851.3933105,1
242,2367.0349121,1
243,2659.03779298,5
244,3070.5751953,1
246,2939.7128906,1
251,2463.7016602,1
252,2640.515625,2
253,2389.317321775,4
256,2355.4296875,1
260,2343.3886719,1
264,2804.7587891,1
267,2768.8674316,1
272,3070.4714966,4
273,2938.0258789,1
276,2734.0092773,1
298,2433.8830566,1
305,2491.4074707,1
307,2591.0981445,1
317,2886.4089355,1
