distance_group,HousePrice,Weight
65.0,12534.540912821052,38
65.5,12687.108293267693,65
66.0,12162.229324772858,70
66.5,13187.19117914186,43
67.0,13552.82910156,15
67.5,12517.622481489474,57
68.0,11863.074011612121,33
68.5,10333.428935590142,213
69.0,11574.650028946297,54
69.5,11201.439156666072,56
70.0,11492.941578583193,119
70.5,12033.805371083332,60
71.0,12031.980155409034,321
71.5,12032.568937577154,429
72.0,12836.202909822034,118
72.5,12099.642578118182,44
73.0,12209.462516053425,73
73.5,12430.845121838096,42
74.0,10434.012917913971,136
74.5,10063.759635406666,30
75.0,9726.491741068572,70
75.5,9545.09493797629,97
76.0,9460.227395153684,95
76.5,9915.775322092983,57
77.0,9911.97939453,40
77.5,9269.424445494253,87
78.0,9938.299871716667,102
78.5,10086.365349268628,51
79.0,9907.217702396365,55
79.5,10416.29383476415,53
80.0,10644.29987839151,106
80.5,10466.985262792727,55
81.0,11242.006472335637,188
81.5,12151.895574013559,118
82.0,11010.473896740541,37
82.5,11107.407477685714,35
83.0,12381.465694303226,31
83.5,11996.449462875002,12
84.0,10821.82138922564,39
84.5,12951.522820721053,19
85.0,11917.729778017074,41
85.5,12776.114589851999,50
86.0,12494.368452586363,44
86.5,11621.59586588,60
87.0,12581.232996328235,85
87.5,13408.324813572728,110
88.0,15932.562423396079,51
88.5,16243.339714321686,83
89.0,16686.40192990446,269
89.5,16942.508346087627,194
90.0,16421.820743783755,197
90.5,17198.61874230621,483
91.0,14514.295844170834,72
91.5,16369.266067615106,278
92.0,17014.80371795799,557
92.5,17218.970661042244,232
93.0,16082.649533093781,402
93.5,16278.863575420082,488
94.0,15648.683830067801,500
94.5,15573.867438055262,304
95.0,15059.413486329,100
95.5,14653.093709314584,48
96.0,14173.993055562223,45
96.5,14431.550337344157,77
97.0,12627.685860775,28
97.5,13953.208286828572,42
98.0,14440.584102751514,33
98.5,13065.98964844,20
99.0,13594.72884971842,38
99.5,12838.172223792857,14
100.0,12378.250465033334,21
100.5,12844.678868445162,31
101.0,12108.827392584375,32
101.5,12056.894693986666,30
102.0,11378.62304687,20
102.5,10918.407059154286,35
103.0,11117.85166013,10
103.5,10284.133856427587,29
104.0,10563.496967526315,19
104.5,10638.68275672143,14
105.0,10145.433919283334,6
105.5,10870.925651033333,15
106.0,10666.3955078125,8
106.5,9915.61165362,15
107.0,9872.550292957141,14
107.5,10040.54667968,5
108.0,10090.782645092857,14
108.5,9726.52832032,5
109.5,9028.81816408,5
110.0,9799.1962891,1
110.5,9215.456612714286,7
111.0,9057.76220705,2
111.5,8588.0908203,2
112.0,8218.333147314286,7
112.5,7706.26113282,5
113.0,7317.25634764,5
114.5,7398.71154785,8
115.0,7790.539520281251,16
115.5,7300.61386716,5
116.5,7296.78230795,6
123.5,14196.741210975,4
124.0,15030.9798584,8
124.5,14580.255750877775,9
125.0,12627.5947266,2
125.5,14356.318033866666,3
126.0,12223.384155275,8
126.5,12444.851768089473,19
127.0,13641.4889323,3
127.5,11881.921936018749,16
128.0,11642.05322265,2
128.5,11415.72636719,10
129.0,11287.1238607,6
129.5,11031.0029297,4
130.0,10902.085018391177,34
130.5,10639.066772475,8
131.0,10419.61132815,2
131.5,10634.94691049091,11
132.0,10265.395063918182,11
132.5,10205.6160156,5
133.0,10407.34970703,10
133.5,9829.431640605262,19
134.0,9907.72084262857,21
134.5,9309.758037865384,26
135.0,9289.088292729411,17
135.5,9249.95124162857,28
136.0,9179.3010742,10
136.5,9254.338541677778,9
137.0,8908.560461952175,23
137.5,8548.910503189472,38
138.0,8601.36577573913,46
138.5,9649.59570315,2
139.0,7629.137239573333,15
139.5,8521.9954834,4
140.0,7644.72690717647,17
140.5,7222.5175781,1
141.0,7671.31349608,25
141.5,7267.3337402625,8
142.0,6570.107869458334,12
142.5,7892.748209633333,3
143.5,8149.6708984,1
